Code géographique,Coups et blessures volontaires,Vols avec armes,Cambriolages de logement,Vols de véhicules,Destructions et dégradations volontaires,Trafic de stupéfiants
01267,0.0,0.0,0.0,0.0,0.0,0.0
01268,0.0,0.0,0.0,0.0,0.0,0.0
01269,4.116104446132758,0.0,4.5162079319406025,1.1099501268670144,0.0,0.0
01272,0.0,0.0,5.411382828235535,0.0,0.0,0.0
01273,0.0,0.0,11.529835788626594,0.0,0.0,0.0
01274,0.0,0.0,0.0,0.0,0.0,0.0
01275,0.9193590753874442,0.0,17.68320973813321,2.0176469572700846,0.0,0.0
01276,0.0,0.0,5.623061882851214,0.0,0.0,0.0
01277,0.0,0.0,0.0,0.0,0.0,0.0
01279,0.0,0.0,0.0,0.0,0.0,0.0
01280,0.0,0.0,0.0,0.0,0.0,0.0
01281,1.9439540340672055,0.0,14.046509481468307,0.9763838402867909,0.0,0.0
01282,0.0,0.0,0.0,0.0,0.0,0.0
01283,4.767138667925306,0.0,3.6340839829233986,1.1407700593055,0.0,0.17907929343412934
01284,0.0,0.0,0.0,0.0,0.0,0.0
01285,0.0,0.0,6.0943006494323315,0.0,0.0,0.0
01286,0.0,0.0,0.0,0.0,0.0,0.0
01288,0.0,0.0,9.573198481525663,0.5401512423478574,0.0,0.0
01289,3.4834413562284765,0.0,7.515454509143623,0.23006134969325154,0.0,0.0
01290,0.0,0.0,18.30354978863358,0.0,0.0,0.0
01291,0.0,0.0,0.0,0.0,0.0,0.0
01293,0.0,0.0,0.0,0.0,0.0,0.0
01294,0.0,0.0,0.0,0.0,0.0,0.0
01295,0.0,0.0,0.0,0.0,0.0,0.0
01296,0.0,0.0,0.0,0.0,0.0,0.0
01297,0.0,0.0,0.0,0.0,0.0,0.0
01298,0.0,0.0,0.0,0.0,0.0,0.0
01299,0.0,0.0,0.0,0.0,0.0,0.0
01301,0.6923464249748238,0.0,3.4097958212334727,0.0,0.0,0.0
01302,0.0,0.0,0.0,0.0,0.0,0.0
01303,2.313475997686524,0.0,6.035778464200796,2.056409907770433,0.0,0.0
01304,3.4400101080972583,0.0,7.000395396018882,3.3152079243983006,0.0,0.0
01305,4.296750408165457,0.0,0.0,2.308486837265528,0.0,0.0
01306,2.353181911192961,0.0,0.0,0.0,0.0,0.0
01307,0.0,0.0,9.201382782894393,0.0,0.0,0.0
01308,0.0,0.0,0.0,0.0,0.0,0.0
01309,0.0,0.0,0.0,0.0,0.0,0.0
01310,0.0,0.0,0.0,0.0,0.0,0.0
01311,0.0,0.0,0.0,0.0,0.0,0.0
01313,2.154804476909846,0.0,13.134940969732659,1.4569478670267244,0.0,0.0
01314,0.0,0.0,5.529055362182507,0.0,0.0,0.0
01317,0.0,0.0,0.0,0.0,0.0,0.0
01318,0.0,0.0,0.0,0.0,0.0,0.0
01319,0.0,0.0,0.0,0.0,0.0,0.0
01320,0.0,0.0,5.223171889838557,0.0,0.0,0.0
01321,0.0,0.0,0.0,0.0,0.0,0.0
01322,0.7519288609912383,0.0,11.313107820680216,1.6029391274517104,0.0,0.0
01323,0.0,0.0,0.0,0.0,0.0,0.0
01325,0.0,0.0,0.0,0.0,0.0,0.0
01328,0.0,0.0,0.0,0.0,0.0,0.0
