Code géographique,Elu,Orientation
02326,Marine,EXD
02327,Marine,EXD
02328,Marine,EXD
02329,Marine,EXD
02330,Emmanuel,C
02331,Marine,EXD
02332,Marine,EXD
02333,Marine,EXD
02334,Marine,EXD
02335,Marine,EXD
02336,Marine,EXD
02337,Marine,EXD
02338,Marine,EXD
02339,Marine,EXD
02340,Marine,EXD
02341,Marine,EXD
02342,Marine,EXD
02343,Marine,EXD
02345,Marine,EXD
02346,Marine,EXD
02347,Marine,EXD
02349,Marine,EXD
02350,Marine,EXD
02351,Marine,EXD
02352,Marine,EXD
02353,Marine,EXD
02354,Marine,EXD
02355,Marine,EXD
02356,Marine,EXD
02357,Emmanuel,C
02358,Marine,EXD
02359,Marine,EXD
02360,Marine,EXD
02361,Marine,EXD
02362,Marine,EXD
02363,Marine,EXD
02364,Marine,EXD
02366,Marine,EXD
02367,Marine,EXD
02368,Marine,EXD
02369,Marine,EXD
02370,Marine,EXD
02371,Marine,EXD
02372,Marine,EXD
02373,Marine,EXD
02374,Marine,EXD
02375,Marine,EXD
02376,Marine,EXD
02377,Marine,EXD
02378,Marine,EXD
02379,Marine,EXD
02380,Marine,EXD
02381,Marine,EXD
02382,Marine,EXD
02383,Marine,EXD
02384,Marine,EXD
02385,Marine,EXD
02386,Marine,EXD
02387,Marine,EXD
02388,Marine,EXD
02389,Marine,EXD
02390,Marine,EXD
02391,Marine,EXD
02392,Marine,EXD
02393,Marine,EXD
02395,Marine,EXD
02396,Marine,EXD
02397,Marine,EXD
02398,Marine,EXD
02399,Marine,EXD
02400,Marine,EXD
02401,Marine,EXD
02402,Marine,EXD
02403,Marine,EXD
02404,Marine,EXD
02405,Marine,EXD
02406,Emmanuel,C
02407,Marine,EXD
02408,Marine,EXD
02409,Marine,EXD
02410,Emmanuel,C
02411,Marine,EXD
02412,Marine,EXD
02413,Marine,EXD
02414,Marine,EXD
02415,Marine,EXD
02416,Marine,EXD
02417,Marine,EXD
02418,Marine,EXD
02419,Marine,EXD
02420,Marine,EXD
02421,Marine,EXD
02422,Marine,EXD
02423,Marine,EXD
02424,Marine,EXD
02425,Marine,EXD
02426,Marine,EXD
02427,Marine,EXD
02428,Marine,EXD
02429,Emmanuel,C
02430,Marine,EXD
02431,Marine,EXD
02432,Marine,EXD
02433,Marine,EXD
02435,Marine,EXD
02438,Marine,EXD
02439,Marine,EXD
02440,Marine,EXD
02441,Marine,EXD
02442,Marine,EXD
02443,Marine,EXD
02444,Marine,EXD
02445,Marine,EXD
02446,Marine,EXD
02447,Emmanuel,C
02448,Marine,EXD
02449,Marine,EXD
02450,Marine,EXD
02451,Marine,EXD
02452,Marine,EXD
02453,Marine,EXD
02454,Marine,EXD
02455,Marine,EXD
02456,Marine,EXD
02457,Marine,EXD
02458,Marine,EXD
02459,Emmanuel,C
02460,Marine,EXD
02461,Marine,EXD
02462,Marine,EXD
02463,Marine,EXD
02464,Marine,EXD
02465,Marine,EXD
02466,Marine,EXD
02467,Marine,EXD
02468,Marine,EXD
02469,Marine,EXD
02470,Marine,EXD
02471,Marine,EXD
02472,Marine,EXD
02473,Marine,EXD
02474,Marine,EXD
02476,Marine,EXD
02477,Marine,EXD
02478,Marine,EXD
02480,Marine,EXD
02481,Emmanuel,C
02482,Marine,EXD
02483,Marine,EXD
02484,Marine,EXD
02485,Marine,EXD
02486,Marine,EXD
02487,Marine,EXD
02488,Marine,EXD
02489,Marine,EXD
02490,Emmanuel,C
02491,Marine,EXD
02492,Marine,EXD
02493,Marine,EXD
02494,Marine,EXD
02495,Marine,EXD
02496,Marine,EXD
02497,Marine,EXD
02498,Marine,EXD
